순번,카테고리,서비스페이지,FE/BE/DATA,기능,상세설명,필수/핵심/선택,,회원관리 서버,입찰 서버 (실시간),경매 서버 (etc),게이트웨이
,마이페이지,목록,FE,,,,,,,,
,마이페이지,입찰 중 페이지,,입찰중(구매중)인 물품 목록 조회,"로그인한 회원이 현재 경매가 진행되고 있고, 
참여중인 물품 목록
물품 클릭 시 경매 물품 디테일 페이지로 이동",1,,,,,
,마이페이지,판매 중 페이지,,판매해 놓은 물품 목록 조회,"로그인한 회원이 현재 경매가 진행되고 있고,
 판매하기 위해 올려놓은 물품 목록
물품 클릭 시 경매 물품 디테일 페이지로 이동",1,,,,,
,마이페이지,구매 완료 페이지,,구매 완료 물품 목록 조회,"로그인한 회원이 경매에 참여하여 구매가 완료된 물품 목록
물품 클릭 시 경매 물품 디테일 페이지로 이동",1,,,,,
,마이페이지,판매 완료 페이지,,판매 완료 물품 목록 조회,"로그인한 회원이 판매 완료한 물품 목록
물품 클릭 시 경매 물품 디테일 페이지로 이동",1,,,,,
,마이페이지,관심 목록페이지,,찜해 놓은 물품 목록 조회,"로그인한 회원이 현재 경매가 진행되고 있고, 찜 해놓은 물품 목록
물품 클릭 시 경매 물품 디테일 페이지로 이동",1,,,,,
,마이페이지,알림 내역 페이지,,알림 내역 보기,"구매 성공, 실패, 판매 완료, 입찰 강탈
알림 클릭 시, 해당 경매 디테일 페이지로 이동",4,,,,,
,마이페이지,물품 목록,,물품 목록 내용,"1. 경매 제목
2. 경매 물품명
3. 경매 모델명
4. 경매 시작가 or 현재가
5. 사용 기한
6. 썸네일 (물품 등록 시 등록했던 첫 번째 사진)",,,,,,
,회원관리,회원가입 화면,,회원가입,OAuth2 구글,1,,,,,
,회원관리,회원가입 화면,,회원가입,OAuth2 카카오,3,,,,,
,회원관리,회원가입 화면,,회원가입,추가 정보 입력 (닉네임),4,,,,,
,회원관리,로그인 화면,,로그인,OAuth2 로그인 처리하기,1,,,,,
,회원관리,헤더,,로그아웃,OAuth2 로그아웃 처리하기,1,,,,,
,회원관리,마이페이지 목록,,회원탈퇴,,2,,,,,
,회원관리,마이페이지,,회원정보수정,이름 변경,,,,,,
,회원관리,마이페이지,,회원정보수정,닉네임 변경,,,,,,
,회원관리,마이페이지,,회원정보수정,프로필 사진 변경,,,,,,
,회원관리,마이페이지,BE,연동,구글 카카오 연동,,,,,,
,회원관리,마이페이지,,,추가 정보(닉네임 등) 입력받기,,,,,,
,경매,경매 메인 페이지,,현재 진행중인 경매 목록 조회,"1. 전체
2. 진행중
3. 진행예정
4. 마감임박",1,,,,,
,경매,검색 후 페이지,,검색 결과 조회,검색어,1,,,,,
,경매,검색 후 페이지,,검색 결과 조회,"카테고리(대분류- 폰, 가전 .. 소분류-S22, S23...), 지역 등 필터링",2,,,,,
,경매,알림,,판매자 - 경매 입찰 성공 알림,,,,,,,
,경매,알림,,구매자 - 경매 입찰 성공 알림,,,,,,,
,경매,물품 등록 화면,,물품 등록,"1. 경매 제목
2. 카테고리 선택
3. 경매 기간 입력
4. 시작 가격
5. 단위 금액 가격
6. 모델명 검색 및 선택 (+ 제품명) [제품정보]
7. 사용 기간
8. 특이사항 (결함, 불량 등 상태)
9. 사진, 영상 등 업로드",,,,,,
,,경매중,구매자,입찰 참여 버튼,"입찰에 성공/실패했습니다, 이미 종료된 경매입니다.",,,,,,
,,,판매자,입찰 종료 버튼,판매자가 조기에 입찰을 종료하고 판매 완료시킴,,,,,,
,,,,경매 정보 수정,"등록한 정보를 수정함(제목, 사진, 상승폭, ...)",,,,,,
,,,,경매 취소,경매를 취소함,,,,,,
,,경매완료,공통,,경매가 끝난 시점의 리더보드,,,,,,
,,,구매자,,,1,,,,,
,,,판매자,,,1,,,,,
,경매,디테일 화면,,입찰해 놓은 물품 디테일 (구매자),"1. 제품 사진
2. 제품명
3. 제품 정보 
4. 현 경매 가격
5. 경매 종료 시간
6. 경매가격 리더보드
7. 경매 참여 버튼
8. 가격 오름 그래프 (시간단위)
9. 댓글
10. 해당 제품의 총 거래 횟수 
11. 최근 시세 통계 그래프?",1,,,,,
,,,,6. 경매가격 리더보드,실시간 진행중인 경매가격 현황,,,,,,
,,,,8. 가격 오름 그래프 (시간단위),미분해서?,,,,,,
,,,,8. 가격 오름 그래프 (시간단위),실시간,4,,,,,
,,,,9. 댓글,댓글 CRUD,,,,,,
,,,,,,,,,,,
,,디테일 화면,,판매해 놓은 물품 디테일 (판매자),"1. 제품 사진
2. 제품명
3. 제품 정보 
4. 현 경매 가격
5. 경매 종료 시간
6. 경매가격 리더보드
7. 경매 완료 버튼
8. 가격 오름 그래프 (시간단위)
9. 댓글
10. 입찰가 상승폭 변경 버튼",1,,,,,
,,,,6. 경매가격 리더보드,실시간 진행중인 경매가격 현황,,,,,,
,,,,8. 가격 오름 그래프 (시간단위),미분해서?,,,,,,
,,,,8. 가격 오름 그래프 (시간단위),실시간,4,,,,,
,,,,9. 댓글,댓글 CRUD,,,,,,
,,,,,,,,,,,
,게이트웨이,,,,공통 인증 로직,,,,,,
